Temps;Li7;B11;Na23;Mg24;Al27;Ca43;Cr52;Mn55;Fe57;Co59;Ni62;Cu63;Cu65;Zn66;Zn68;As75;Rb85;Sr86;Y89;Zr90;Cd111;Sn117;Sb121;Cs133;Ba138;La139;Ce140;Pr141;Pb208
132,405;1136;1202,7;13910986;204568,8;77447;3529152;706648;42884,5;5195,5;1997,5;549;1348,5;299;1498,5;27385,5;0;399;1693248;49,5;2597,5;0;99,5;0;0;54285,5;0;0;0;99
133,799;1136,3;1804,7;13202357;196998;67990;3472832;703352;42684;5395,5;1798,5;799;1798;299;749;29335,5;99;199;1608565,4;49,5;3147;99;249;49,5;0;49734,5;0;0;0;49,5
135,192;534,3;1002,3;12815798;183232,4;70542;3388394,8;710632;39184;5295,5;2097,5;898,5;799;149;849;26636;49,5;99;1618277,4;49,5;2297,5;199;249;0;0;43234;0;0;0;0
136,586;868,3;1203;12015022;185768,2;68891;3360906,8;722224;50286,5;5445,5;1848;549;1498,5;249;549;25885,5;0;149;1687253,4;99,5;2947,5;0;49,5;0;0;46884;0;0;49,5;49,5
137,98;1002,3;1269,3;12106628;182177,2;68742;3967549,3;731200;40984;4296;1898;399;949;249;898,5;24536;0;199;1832304;0;2297,5;99;0;49,5;0;47835;0;5696;0;99,5
139,374;668,3;1470,3;11903456;183486,8;71343;3347978,8;705184;39884;13990,5;1798;399;1248,5;249;998,5;26935,5;49,5;299;1726341,4;0;2597,5;49,5;0;0;0;38484;0;0;0;0
140,767;935,3;1737,7;11765517;191164,8;69242;3472576;740752;39884;5895,5;2197,5;699;1248,5;199;849;25885,5;49,5;49,5;1583253,4;0;2647,5;199,5;99,5;99,5;0;39934;0;0;0;199
142,161;1069;1269,3;11588372;189423,3;69442;3321408;713328;40934;4646;1698;249;549;149;499;26836;49,5;149;1499680;49,5;2447,5;149;99,5;0;0;43984;0;0;0;0
143,555;601,3;1403,3;11561572;194467,2;66040;3286293,3;701472;40934;5545,5;2398;449;1148,5;449;599;26085,5;49,5;199,5;1532410,6;0;2947;99,5;0;99,5;49,5;44934;0;0;0;49,5
144,948;534,3;1804,7;11386028;185572,3;71944;3248917,3;695816;43484;5945;2347,5;349;1048,5;499;599;28135,5;0;249;1531173,4;99,5;2747,5;49,5;0;0;0;41834;0;0;0;99,5
